Ő tett szabaddá, Ő tett szabaddá	186	
Ó, Szent Király, Ó hű Király	168	
		
Oly jó veled lenni Jézus	172	
Oly szép vagy, lelkem Téged áld	174	
Oly szép vagy, nincs arra szó	167	
Örök Isten, Te hajlékom vagy	192	
Örökké Téged imádlak	175	
Öröktől ismered szívem vágyát	178	
Őt látom minden pillanatban	142	
Pártfogóm, a királyok felett	179	
Pásztorom vagy, Jó Uram	48	
Sátánt legyőzték	8	
Semmiért se aggódj, semmitől se félj	150	
Semmim sem volt nekem	1	
Senki nem méltó rá	206	
Soha még nem hallottam olyat	67	
Sorsom ott van a kezedben	182	
Sötétben ragyog, mint égi fény	110	
Sötétségből a fénybe emelsz	151	
Száguldó napjainkban	184	
Szakadék tátongott	78	
Százszor elbuktam	222	
Szent az Úr, Szent az Úr	139	
Szent Szellem érintsd meg néped	93	
Szent Szelem köszöntünk	158	
Szent vagy, szent vagy, meghajtom	90	
Szent, szent, szent vagy	188	
Szeretlek Téged Jézus	191	
Szeretünk Jézus, Te légy minden	190	
Szólj hozzánk, és mi hallgatunk	220	
Tapsoljál és ujjongjál	162	
Tarts meg engem Istenem	195	16. zsoltár
Te Isten vagy, de én nem	97	
Te vagy a legdrágább kincs	198	
Te vagy a legfőbb kincsem	199	
Te vagy az életem, reményem, álmom	203	
Te vagy az első, aki azért szerettél	163	
Te vagy az első, és utolsó	54	
Te vagy az út, az igazság	187	
Te vagy forrásom	210	
Te vagy szerelme életemnek	193	
Te vagy Úr a mennyben	12	
		
Te vagy Uram menedékem	136	
Te vagy városunk Ura	201	
Téged hívlak Istenem	37	
Téged hívlak mikor sötétség támad	159	
Teljes szívből áldom neved	207	
Tiéd a végtelen, a kárpiton túli tér	13	
Több, mint a földi gazdagság	209	
Több vagy mindennél, amit emberi	92	
Tűzzel megkeresztelsz	212	
Üdv a Királynak	217	
Úr vagy szívemben	197	
Uram Hozzád emelkedem	183	
Uram, Hozzád emelem lelkem	214	
Uram, Szent vagy, Szent vagy	208	
Uram, Szent vagy	215	
Uram, Te ismersz, látod szívem	120	
Urunk áraszd ránk most kegyelmed	216	
Vak koldusként	116	
Van egy hely, ahova mehetek	218	
Várlak, Uram jöjj hozzám	219	
Várom a napot, eljön az Úr	221	
Végtelen kegyelmed ébreszt fel	185	
Véred megérint, s hozzám szól	148	
Vidáman, hangos dallal	103	
Vonj közel Hozzád	225	
