153	Az Úrnak zengjen az ének!		
154	Jó Atyánknak örvendezzünk víg szívvel!		
155	Dicsérd, Sion, Megváltódat!		
156	Kész már a szívem néked zengeni, Isten		
157	Felséges Isten, nagy nevedet áldom		
158	Ne csüggedj, lelkem!		
159	Felséges Jézus, világ fejedelme		
160	Íme, lészen a kései korban!		
161	Átadom ma néked az életem		
162	Isten nevét dicsérem		
163	Jer, örvendezzünk az Úristennek!		
164	Jézus, te égi szép, tündöklő fényű név		
165	Serkenj fel már mély álmodból!		
166	Jézusról, csak róla mondok éneket		
167	Jöjj az Úrhoz		
168	Jó dolog az Urat áldani, dicsérni		
169	Minden áldás tőle száll alá		
170	Széjjeljártam a világban		
171	Jézus Krisztus megszabadított		
172	Keresztyének, kik ez földön lakoztok		
173	Kik a Krisztusban hunytak el		
174	Krisztus az énekem		
175	Magasztalunk égi fénynél		
176	Nagy hálát adjunk az Atya Istennek!		
177	Bárány Jézus		Jel 19
178	Nevedre vettem keresztséget		
179	Nézd, a Nap hogy száll alább!		
180	Ó, hova visz az út?!		
181	Ott a messze földön		
182	Örvendjetek, mert Isten úgy szeret!		
183	Az alázatos lélek tüköre		
184	Szólnék bár én angyal nyelven		
185	Velem vándorol utamon Jézus		
186	Urunk, ez a hála napja		
187	Uram, tiéd vagyok én		
			
188	Az Úr csodásan működik		
189	Az Úr gondol ránk		
190	Az Úr énnékem őriző pásztorom		
191	Kyrie eleison		
192	Az Úrnak irgalmát örökké éneklem		
193	Áldjad, én lelkem		
194	Jöjj, az Úr vár reád, jöjj, amíg ifjú vagy!		
195	Dicsérjétek az Urat!		
196	Bár szétszakadva él az egyház		
197	Dicsőült helyeken, mennyei paradicsomban		
198	Eljöttünk zendüljön az ének		
199	Áldjon meg téged, áldjon az Úr		
200	Az Istennek tízparancsolatja		
201	Erős vár a mi Istenünk		
202	Ha reánk tör a homály, ne fájjon, ami fáj		
203	Imádkozzatok és buzgón kérjetek!		
204	Hallgass meg minket, nagy Úr Isten!		
205	Hisszük: az Úr világ ura		
206	Hív már az Úr		
207	Áldott a férfi, ki Istenben bízik egyedül		
208	Ímhol vagyok, édes Uram, Istenem		
209	Isten velünk! Viszontlátásra! (más)		
210	Magnificat		
211	Jézus a jó Pásztor, vele megyünk		
212	Ti keresztyének, Istent dicsérjétek		
213	Jézus, vigasságom		
214	Fel, fel, dalra fel		
215	Keresd az Istent, népem!		
216	Mennyei seregek, boldog tiszta lelkek		
217	Készülj Urad elé, lelkem!		
218	Krisztusom, kívüled nincs kihez járulnom		
219	Mely igen jó az Úr Istent dicsérni		
220	Ó, Seregeknek Istene		
221	Nem nékünk, Uram, nem nékünk engedd!		
222	Mindenek meghallják és jól megtanulják		
223	Mindenkoron áldom az én Uramat		
224	Mindig velem, Uram		
225	Mondjatok dicséretet!		
226	Száma nincsen, Uram jótéteményidnek		
227	Jézus Úr		
228	No, minden népek, örvendezzetek!		
229	Dicsérjétek az Urat, mert ő jókedvet mutat!		
230	Ó, Sion ébredj, töltsd be küldetésed!		
231	Örvendj egész föld az Istennek!		
232	Szívemet Hozzád emelem		
233	Semmit ne bánkódjál, Krisztus szent serege!		
234	Siess keresztyén, lelki jót hallani!		
235	Tebenned bíztunk eleitől fogva		
236	Úrnak szolgái, mindnyájan		
237	Tehozzád teljes szívből kiáltok szüntelen		
238	Urunk nagy nevét áldja a világ		
			
239	Énekes szertartás		
240	Mi Atyánk, ó kegyes Isten		
241	Apostoli Hitvallás		
			
242	Elmúlt az éj, felkelt a nap		
243	Ha virrad a hajnal		
244	Hála, hogy itt a csöndes reggel		
245	Feljött a nap		
246	Kész az én szívem, Istenem		
247	Ó, felséges Atya Isten		
248	Örök élet reggele		
			
249	A fényes nap immár elnyugodott		
250	A test lehull, a lélek messze száll		
251	Adjon Isten jó éjszakát!		
252	Erdő mellett estvéledtem		
253	Áldó hatalmak oltalmába rejtve		
254	Itt az este, ránk borul árnya		
255	Ez a nap is csendesen		
256	Krisztus, ki vagy nap és világ		
257	Lásd, Urunk, egy nap újra eltűnt		
258	Add békédet Urunk!		
259	Maradj velem, mert mindjárt este van!		
260	Ó, terjeszd ki, Jézusom!		
			
261	Tartsd fel a zászlót, mondd ki a jelszót!		
262	Az Isten a mi reménységünk		
263	Igaz Pásztor, figyeld néped!		
264	Emlékezzél, mi történék, Uram, mirajtunk!		
265	Hálás szívvel áldunk Téged, Istenünk		
266	Én nem tudom, mért szeretett úgy minket		
267	Ének Hunyadi Jánosról		
268	Ha Isten vélünk, kicsoda ellenünk?		
269	Halld, az ég harangi zengnek!		
270	Jaj, de búsan süt az őszi nap sugara		
271	Hallgass meg, Izráel pásztora!		
272	Mi kegyes Atyánk		
273	Járhatok az úton alá s fel bánkódva		
274	Kimegyek a doberdói harctérre		
275	Kánon október hatodikára		
276	Keserves szívvel Magyarországban		
277	Fohászkodás a nemzet felemelkedéséért		
278	Kossuth izenete eljött		
279	Kossuth Lajos Debrecenből elindult		
280	Mikor Csíkból elindultam		
281	Milleniumi óda – részlet		
282	Azki szolgál néked, Uram		
283	Egy ágyon, egy kenyéren		
284	Ó, én édes jó Istenem!		
285	Mily gyönyörűség, íme, lásd!		
286	Ne csüggedj el, kicsiny sereg!		
287	Nekünk a legszebbik estét		
288	Nemzeti dal		
289	Ne felejtsd a munkát és becsületet!		
290	Serkenj fel, kegyes nép!		
291	Sok Zsuzsánna napokat vígen elérhess!		
292	Szabadság kánon		
293	Szellő zúg távol, alszik a tábor		
294	Székely asztali áldás		
295	Tartsd meg hazánkat, Isten!		
296	Vége van már a szolgaságnak		
297	Eger vár viadaláról		
298	Zöld erdő harmatját		
299	Az szép szabadságra		
300	Májusi szellő borzolja a fákat		
			
301	Öröm van nálad		
302	Békefohász		
303	Hajnal órán lelkem ébred		
304	Orando et laborando!		
305	Pásztorom vagy, Uram Isten		
306	Jöjj, mondjunk hálaszót!		
307	Ó, jöjjetek, hívek, ma lelki nagy örömmel!		
308	Örvendezzetek az erős Istennek!		
309	Győzelmet vettél, ó, Feltámadott		
310	A 33. genfi zsoltár		
311	Feltámadt Krisztus, vigadjunk!		
312	Igéddel áldj meg bennünket, Urunk!		
313	Ó, ifjak, lányok (O filii et filiae)		
314	Adventi hírnök: friss fenyőág		
315	Laus viventi Deo!		
			
316	Magyar ének		
317	Csángómagyar		
318	Szózat	d: Erkel Ferenc	
319	Székely himnusz		
320	Szózat	d: Egressy Béni	
321	Himnusz		
