144	Áldott az Úr, ki kezemet tanítja 
145	Magasztallak téged, én Istenem 
146	Áldjad, én lelkem, az Urat 
147	Az Urat dicsérjétek, mert jó 
148	No, dicsérjétek mindnyájan 
149	Az Úrnak, no, énekeljetek 
150	Dicsérjétek az Urat! Áldjátok 
151	Hatalmas Isten, nagy haragodban 
152	Istenem, lásd meg a sok hazugságot 
153	Tudom, pásztorom és vezérem 
154	Ó, én két szemeim, ti az Úrra nézzetek 
155	Száma nincsen, Uram, jótéteményidnek 
156	Benned bíztam, Uram, Isten 
157	Mindenkoron áldom az én Uramat 
158	Hagyjad az Úr Istenre 
159	Ne zúgolódj, ha látod a hitetlent 
160	Fohászkodom hozzád, Uram, Istenem 
161	Erős várunk nekünk az Isten 
162	Minden népek örülvén, tapsoljanak 
163	Ne szállj perbe énvelem 
164	Atya Úr Isten, könyörülj rajtam 
165	Irgalmazz, Úr Isten, immáron énnékem 
166	Áldj meg minket, Úr Isten, a te jóvoltodból 
167	Siess, nagy Úr Isten, én segítségemre 
168	Ne hagyj elesnem, felséges Isten 
169	Sok ínségünkben hozzád kiáltunk 
170	Az Úr Istent magasztalom 
171	Seregeknek Ura, felséges Isten 
172	Aki veti segedelmét 
173	Mely igen jó az Úr Istent dicsérni 
174	Jer, örvendezzünk az Úr Istennek 
175	Zengjetek, minden nemzetek 
176	Örüljetek az Istennek 
177	Dicsérd, én lelkem, minden erődben 
178	Én lelkem, áldva áldjad 
179	Keresztyének, kik e földön lakoztok 
180	Ó, boldog az az ember, ki Isten útján jár 
181	Jer, emlékezzünk, keresztyén népek 
182	Örül mi szívünk, mikor ezt halljuk 
183	Akik bíznak az Úr Istenben, el nem vesznek 
184	Mindenek meghallják és jól megtanulják 
185	Minden hű keresztyének, meghalljátok 
186	Mélységből hozzád kiáltunk 
187	Végtelen irgalmú Isten, hozzád kiáltok 
188	Felséges Isten, hozzád kiáltunk 
189	Mely igen jó légyen az egyenesség 
190	Ti, keresztyének, dicsérjétek Istent 
191	Dicsérd az Istent, mostan, ó, én lelkem 
192	Drága dolog az Úr Istent dicsérni 
193	Mennyei seregek, boldog, tiszta lelkek
194	Mennyei seregek, boldog, tiszta lelkek 
195	Dicsérjétek az Istent a mennyégben 
196	Dicsőült helyeken, mennyei paradicsomban 
197	Dicsérjétek a menny Urát 
201	Urunk, Jézus, fordulj hozzánk 
202	Kegyes Jézus, itt vagyunk 
203	Hozzád jövök, ó, Mesterem 
204	Krisztusom, kívüled 
205	Ó, Atya Isten, irgalmas nagy Úr 
206	Egek nagy Királya 
207	Nagy Isten, néked zeng az ének 
208	Jöjj, mondjunk hálaszót 
209	Úr Jézus, mely igen drága 
210	Ó, mely boldog ember az 
211	Szent Isten, noha néked 
212	Úr Isten, mi sok szükséget 
213	Ó, Úr Isten, légy közöttünk 
214	Nem vagyunk mi magunkéi 
221	Adjunk hálát mindnyájan 
222	Nagy hálát adjunk az Atya Istennek 
223	Meghódol lelkem tenéked, nagy Felség 
224	Ím, béjöttünk nagy örömben 
225	Itt van Isten köztünk 
226	Felséges Isten, nagy nevedet áldom 
227	Siess, keresztyén 
228	Jer, Krisztus népe, nagy vígan 
229	Járuljunk mi Istennek ő szent Fiához 
230	Hallgass meg minket, nagy Úr Isten 
231	Könyörögjünk Istennek ő Szentlelkének 
232	Felséges Isten, mennybéli Teremtőnk 
233	Eljött hozzánk az üdvösség 
234	Emlékezzél, Úr Isten, híveidről 
235	Fordítsd, Úr Isten, kegyes füleidet 
236	Meghagytad nékünk, Úr Isten 
237	Teremtő Istenünk 
238	Eltévedtem, mint juh 
239	Kegyelmes Isten, kinek kezében 
240	Magasztalunk égi fénynél 
241	Tökéletes volt minden tekintetben 
242	Ó, seregeknek hatalmas királya 
243	Ó, könyörgést meghallgató 
244	Imádandó Isten 
245	Uram, téged tisztellek 
246	Urunk, ez a hála napja 
247	Dicsérjük Istent! Mind, ki féli itt lent 
248	Mind adjon hálát Istennek 
249	Áldjad, én lelkem, a dicsőség erős királyát! 
250	Zengd Isten nevét 
251	Úr lesz a Jézus mindenütt 
252	Hálás szívvel áldunk 
261	Uram Isten, siess 
262	Ha te meg nem tartasz, Uram Isten 
263	Atya, Fiú, Szentlélek, készíts 
264	Jövel, ó, áldott Szentlélek 
265	Istennel járni, lakozni 
266	Szűkölködünk nagy mértékben 
267	Urunk, irgalmazz nékünk 
