Olvasd egyre szent Bibliád	184		
Olyan örömöt, mint a forrás	161		
Oly csöpp ember	212		
Oly erős az Úr	94		
Ott, a messze földön	123		
			
Ó, égi Gyermek	27		
Ó, gyönyörű szép	28		
Ó, jertek, zengjünk éneket	29		
Ó, jöjjetek mind ide	30		
Ó, mi boldog ember	162		
Ó, mi hű barátunk	175		
Ó, mily csodás isteni szeretet	197		
Ó, pásztor, mit láttam	31		
Ó, terjeszd ki, Jézusom	60		
Ó, vigyázz	229		
			
Önként mentem szégyenfára	131		A 1990-es kiadásban itt hibásan 135 áll.
Örülj föld és örülj ég	32		
Örvendezz, örvendezz minden nép	41		
Összeteszem két kezem	80		
			
Páncélba bújt	213		
Pásztorokkal vagyok útban	33		
Pásztorok, pásztorok	35		
Pásztor, pásztor, serkenj fel	34		
Pázsit-dombon üldögél	214		
Pünkösd áldott napján	44		
			
Rút volt szívem	132		
			
Semmi felől ne aggódjál	176		
Siessetek, hamar lejár	122		
Sűrű erdő mélyén	215		
			
Száll az ének	81		
Száz juhocskám	216		
Szentlélek, jövel	43		
Szenved Jairus leánya	217		
Szeret az Isten	198		
Szeret hű Megváltóm	199		
Szépséges Jézus	82		
Szívből áldom Jézusom	83		
Szívembe jöjj	244		
Szívemben napsugár	236		
Szívemben öröm dalol	85		
Szívem csendben	185		
Szívem hallgat Jézusom szavára	186		
Szívem örömmel	84		
Szívünk zengje már	86		
Szoros kapu	126		
Szólnak a harangok	125		
Szólj, Uram	238		
			
Tágas mezőn	218		
Te csak az Istennek	177		
Tégy, Uram, engem	239		
Tudod-e, hogy kel föl	96		
Tudod-e, miért	223		
Tudod-e te, hogy	225		
Tudom, az Úrnak terve van velem	163		
Tüzed, Uram Jézus	165		
			
Újesztendő virradott	38		
Új szívet adj	245		
Úr Jézus, drága napsugár	246		
Úr Jézus, Mesterem	61		
Úr Jézus nagy kegyelmét	164		
Úr Jézus, Úr Jézus	247		
			
Van a mennyben	124		
Van egy pálcám	200		
Van itt egy gyermek	219		
Velem vándorol	166		
Vezess, Jézusunk	248		
Vihar tombol	220		
			
Zengje vígan föld és ég	36		
Zengjük együtt	88		
Zengjünk dalt az Úrnak	89		
Zúg a tenger	249		
