Te vagy a hullámzó tenger	198		
Tégy engem szívedre	199		
Tiéd az életem	200		
Tudom, hogy az én igaz	201		
Tudom, hogy Krisztus	202		A 1990-es kiadásban itt hibásan 135 áll.
			
Úgy szerette Isten	203		
Újra véget ért	204		
Utaidat Uram	205		
			
Vadolajfa voltam	206		
Valami mindig vár	208		
Van béke	207		
Van egy jó hely	209		
Van ígéret	210		
Van, ki a terhedet	211		
Van még számomra is	212		
Van munka számodra	213		
Van úgy, hogy rámnehezül	214		
Válasszatok	215		
Válaszútnál tábla	216		
Vándor áll ajtód előtt	219		
Vándorutam	218		
Vár egy csodás	220		
Vessed az Úrra	221		
Vígasztalan a világ	222		
			
Zengjen az énekünk	223		
Zengjünk együtt	224		
Zúghat vihar	225		
