Jézus, ha rád emlékezünk	22
Jézus, Jézus! Ó mi szép	25
Jézus, Jézus, Jézus	24
Jézus, mindenem a tiéd	348
Jézus, Te égi szép	26
Jézus, terád egy gondolat	27
Jézus, világ Megváltója	282
Jézus a jó Pásztor	511
Jézus engem megtalált	310
Jézus engem meg nem csalhat	391
Jézus én bizodalmam	392
Jézus feltámadott	148
Jézus hív, nyájasan	210
Jézus jöjj le győzni végre	486
Jézus királyképpen trónol	149
Jézus Krisztus, Királyom	487
Jézus Krisztus itt vagyunk	189
Jézus Krisztus, Mesterünk	440
Jézus legyen jeligénk	127
Jézus menjen utadon	128
Jézus nyájas és szelíd	72
Jézus ölébe bizton	393
Jézus sebeidnek mélye	135
Jézus szolgálókat hív ma	429
Jézus vezesd gyermeked	394
Jézus vigasságom	395
Jézusból többet	347
Jézusról, csak róla	311
Jézussal élve	349
Jókor reggel házról házra	442
Jöjj, égi szent láng	160
Jöjj, Királyom, Jézusom	74
Jöjj, koronázzuk Őt	28
Jöjj, népek Megváltója	102
Jöjj, ó jöjj Szentlélek Isten	161
Jöjj, tárjunk ajtót	112
Jöjj, Úr Jézus	335
Jöjj el az élet vizéhez	211
Jöjj lelkem és ne	98
Jöjj Szentlélek Úr Isten	162
	
Jöjjetek Krisztust dicsérni	103
Jövel, Szentlélek Úristen	164
Jövel Szentlélek Úristen	163
Kelj útra, s hagyd el	212
Keresztfádon, omló	136
Keresztnek népe fel	488
Keresztyének, zengjetek	23
Később érted meg ezt	396
Ki dolgát mind az	397
Ki eljött éretted	213
Ki hittel a	312
Ki vagyok én	75
Kicsiny Betlehemben	113
Királyi zászló	137
Koronát, trónust	114
Könyörgünk Atyánk	76
Kőszirt a pusztán	313
Krisztus, a keresztfán	138
Krisztus a Király	490
Krisztus az énekem	470
Krisztus feltámadt	150
Krisztus Jézus ím	151
Krisztus Urunknak	115
Krisztus, ártatlan Bárány	143
Krisztus, ki vagy	449
Krisztusom, kívüled	242
Küldd Szentlelked	165
Lábaidhoz hullok	243
Lásd, Uram, leroskadok	238
Lássék lelkemben	491
Légy áldott Isten	29
Légy csendes	400
Légy éber reggel	446
Légy szerelmes, hű	215
Lélek fuvalma, jöjj	169
	
Lélek, akit bűne bánt	216
Lelkem drága	398
Lelkem Megváltója, Jézus	399
Lelki próbáimban	77
Leszállt a csöndes este	450
Magára vette	314
Majdnem megtértél	217
Már itt ragyog az új	443
Már keresztem	350
Már nyugosznak	453
Maradj velem, mert immár alkonyul	451
