151	Oh örök hatalmú mennyei szent Isten!		
163	Oh seregeknek Istene!		
86	Óh szállj le mihozzánk!		
87	Óh világnak Megváltója		
179	Örök Isten! kinek esztendők		
60	Örömhír! Te vagy az		
88	Örvendj, egész föld az Istennek		
152	Ő vezet! oh mily gondolat!		
			
89	Perelj, Uram! perlőimmel		
			
90	Sionban sok kis gyermek		
188	Sok piczinyke vízcsöpp		
153	Száritsd fel könyűdet		
49	Szent egek! minden boldogok hajléki!		
91	Szent érzelem tölti keblem		
4	Szent vagy, szent vagy, szent vagy!		
196	Szép honom, otthonom		
36	Szerelmes Jézus, noha nem vétettél		
154	Sziklahasadékba rejtve		
92	Szívemet hozzád emelem		
93	Szűkölködünk nagy mértékben		
			
180	Te benned bíztunk		
155	Téged csak, oh drága Jézus		
94	Téged, Isten, imádunk		
156	Térj be hozzám, Uram		
157	Térj magadhoz, drága Sion		
189	Tied az ügy		
200	Tied vagyok!		
158	Törvény alól menten		
11	Tudod, hogy hány csillag ragyog?		
12	Tudom, ki teremtette		
			
95	Uram, a töredelmes		
201	Uram! bocsásd el népedet		
202	Uram, bocsássad el szolgádat		
159	Uram! bűneink soksága		
50	Úr Jézus, a ki felséggel		
181	Úr Jézus, légy segítségül		
24	Ünnep a földön, ünnep a mennyen		
			
37	Van egy halom távol földön		
160	Van üres hely		
161	Vedd életem, Jézusom		
96	Vezess, oh Jézus, engem		A 1990-es kiadásban itt hibásan 135 áll.
168	Világ világossága, Jézusom		
			
97	Zengjen hálaének		
