Minden dicséret	138	Zsolt 34,2-3.5-9.11
Minden időben áldom	151	Zsolt 34,2-11
Minden szerinted legyen	154	Ézs 64,7b
Minden nap veled leszek	139	Ézs 41,10
Mint eltévedt bárány	143	Ézs 53,6; 1Pt 2,25
		
Ne bánkódj, testvér	163	
Ne dicsérjem-é az Istent	159	Zsolt 69,31
Ne félj	158	Ézs 41,10.13; 43,1
Ne félj, Sion	157	Zof 3,16-17
Nem a sír	116	Ézs 38,18-19; Zsolt 115,17-18
Nem erővel, nem hatalommal	155	Zak 4,6b
Nem hallod-e?	162	Zsid 3,15a
Nem lankad el	161	JerSir 3,22-23
Nézd meg az évszakokat	160	Zsid 13,8
Nosza, áldjátok	156	Zsolt 134
		
Ó, bár az éltem	171	Fil 2,15-16
Ó, boldog nap	177	
Ó, én hiszek Jézusban	172	
Ó, halld meg imám	166	
Ó, Jézus, életem reménye	201	
Ó, Jézusunk	169	Zsolt 8,10
Ó, mily hű barátunk Jézus	167	
Ó, Sion, ébredj	175	Mk 16,15
Ó, Uram, a te igéd lámpás	168	Zsolt 119,105
Ó, Uram, dicsérlek	173	Kol 1,13
Ó, Uram, te vagy az élet	178	Jn 11,25-26
Oly jó benned bízni, Jézus	170	
Olyan jó, szent az Úr	165	Ézs 9,5
Olyan örömöt	164	
Olyan szent e föld	176	
		
Ő értem halt meg	180	
Örülj, örülj, az Úr veled van	181	
Örülj, örülj, örülj	179	
Örvendjetek	182	
		
Rád bízom	184	Zsolt 55,23a; Fil 4,6
Róla beszél fű, virág	183	
		
Semmi sem választhat el	189	Róm 8,38-39
Serkenjetek fel	187	
Soha nem fél már a szívem	186	Róm 8,15
Soha, soha nem hagy el	185	Józs 1,5
Sokszor úgy érzem	188	
Szavadra, ó, Uram	193	
Szelíd szemed, Úr Jézus	194	
Szent érzelem tölti szívem	190	
Szeretet áradjon köztünk	192	1Jn 4,7
Szeretni nem puszta szó	191	1Jn 3,18
		
Taníts, Uram	208	
Te vagy dicsőségem	195	
Te vagy az Isten	199	
Te vagy az, akiből élet árad	197	
Tégy eggyé	92	Zsolt 131,1
Tégy eggyé, Urunk	200	1Kor 12,26-27
Tégy foglyoddá, Uram	206	
Tehozzád kiáltok	198	
Teremts bennem	202	Zsolt 51,12-14
Tied a dicsőség	196	
Tiszta szívet teremts bennem	205	Zsolt 51,12
Több erőt	204	
Tudom, hogy az én Megváltóm él	203	Jób 19,25
Tüzed, Uram, Jézus	207	
		
Úgy szeretlek	215	
Úr lesz Ő az egész földön	214	
Uram, az éltem	213	
Uram, én áldom	212	
Uram, jó vagy	209	1Pt 5,7
Uram, mind jobban szeretlek	211	
Urunk, Jézus Krisztus	210	Jn 15,1-2
		
Ünnepelj, ünnepelj	216	
		
Vágyod-e elhagyni bűneidet?	220	
Válasszatok	221	Józs 24,14-15
Vándorutam	218	
Vonj öröm és búbánaton át	219	Zsolt 73,28a
		
Zengd Jézus nevét	223	
Zengj halleluját az Úrnak	222	
