Ím, nagy Isten, most Előtted	255		+	
Imádkozók, imára fel	254	*		
Imádkozzatok és buzgón kérjetek	74	*		
Imádom azt a nagy szerelmet	379	*		
Imádság magyarországért	380		+	
Irgalmas Jézusunk	76		+	
Isten Báránya	79	*		
Isten dicsősége	80	*		
Isten e világot	381	*		
Isten élő Lelke jöjj	77		+	
Isten fénye	382		+	
Isten jó, Megtartó	257		+	
Isten szeretet	258		+	
Isten szívén megpihenve	81	*		
Isten velünk, viszontlátásra!	82	*		
Istenem nem értem	256		+	
Istenünk, itt hozzuk	259		+	
Itt állok jászolod felett	78		+	
Itt állunk, sergünk egybegyűlt	260	*		
Itt az éltem, Jézusom	83	*		
Itt az este	262		+	
Itt jövevény vagyok	261	*		
Itt vagyok most, jó Uram	383		+	
Itt van Isten köztünk	84	*		
Itt van szívem	85	*		
Itt vándorol a földön	263	*		
				
Játszottam én is	86		+	
Jehova Úr!	264	*		
Jézus a jó Pásztor	384		+	
Jézus az életem Megváltója	87		+	
Jézus életem, erőm, békém	385		+	
Jézus engem meg nem csalhat	90	*		
Jézus engem megtalált	265	*		
Jézus erre jár	88		+	
Jézus hív bár zúg, morajlik	89		+	
Jézus hív nyájasan	92	*		
Jézus hív, hogy szabad lehess	91		+	
Jézus jöjj le győzni végre	267	*		
Jézus jöjj, vár szívem	268		+	
Jézus kopogtat a szívem ajtaján	95		+	
Jézus Krisztus	96	*		
Jézus légyen utadon tevéled	269		+	
Jézus ölébe bizton	97	*		
Jézus szívedbe lát	386		+	
Jézus szól: világíts	99	*		
Jézus vére oly csodálatos	102		+	
Jézus visszajön	387		+	
Jézus, az életem Megváltója	388		+	
Jézus, drága Jézus!	389		+	
Jézus, hű Megváltó	390		+	
Jézus, Jézus örülök én	266		+	
Jézus, Jézus! Ó, mi szép név!	94	*		
Jézus, Jézus, Jézus	93		+	
Jézus, neved oly csodálatos	391		+	
Jézus, Te égi szép	98		+	
Jézus, Terád egy gondolat	392	*		
Jézus, ünnepeljük győzelmed	393		+	
Jézus, vezesd gyermeked	100	*		
Jézushoz jöjj kedves lélek	394		+	
Jézushoz jöjjetek	395		+	
Jézusról szól ma énekünk	270	*		
Jézusról, csak róla	101		+	
Jézussal élni ó mi jó	396		+	
Jöjj el az élet vizéhez	103		+	
Jöjj mihozzánk, Jézus	104		+	
Jöjj szent közelébe	397	*		
Jöjj, az Úr vár reád	398		+	
Jöjj, itt az idő	271		+	
Jöjj, Királyom, Jézusom	399	*		
Jön a földre égi üzenet	400		+	
Jövel, Jézus, lelkem hő szerelme	272	*		
				
Karácsony van	105		+	
Kegyelemből léphetünk be	401		+	
Kegyes Jézus, itt vagyunk	106	*		
Kelj útra	107	*		
Kenyered és borod	402		+	
Keressétek az én orcámat	113		+	
Keresztnek népe fel	273		+	
Keresztyének, ébredjünk fel	274	*		
Később érted meg ezt	275	*		
Két világban élek	114		+	
Ki asztalt terítesz	403		+	
Ki eljött éretted	109		+	
Ki Istenének átad mindent	108	*		
Ki olyan, mint Ő	404		+	
Kicsiny Betlehemben	110	*		
Királyi gyermek vagyok én	115		+	
Királyi zászló jár elől	276		+	
Királyok Királyának dicső csapatja, fel!	405	*		
Kiválasztottál	406		+	
Koronát, trónust	111	*		
Kőszirt a pusztán	112	*		
Kövesd a Jézust	407		+	
Követni Jézust	116		+	
Krisztus a keresztfán	408	*		
Krisztus a Király	409		+	
Krisztusunk, Te úgy ígérted	277	*		
				
Lábaidhoz hullok	117	*		
Lásd Uram, leroskadok	410	*		
Lásd, Ő jön	278		+	
Lássék lelkemben	279		+	
Leborulok előtted, Jézus	411		+	
Légy áldott Isten	122		+	
Légy áldva	119	*		
Légy éber	120	*		
Legyen áldás az úton	412		+	
Legyen csak úgy	413		+	
Lélek fuvalma jöjj	414		+	
Lélek, akit bűne bánt	121	*		
Lelkem Megváltója, Jézus	118	*		
