111	Jöjj, szabadíts meg	Az Úrnak zengjen az ének 96	
112	Jöjj, az Úr vár reád	Erőm és énekem az Úr 81	
113	Kegyes Jézus, itt vagyunk	RE 164	
114	Később érted ezt meg	H 275	
115	Ki az Úrban bízott		
116	Ki Istenének átad mindent	RE 274	
117	Ki vagyok én? Ki vagyok én?		
118	Királyok Királyának dicső csapatja, fel!	H 385	
119	Krisztus az énekem	Erőm és énekem az Úr 85	
120	Krisztus hívása hangzik	LE 31	
121	Légy áldott, Isten	UjHozs 219	
122	Légy éber	H 120	
123	Lelkem drága Jézusa	RE 300	
124	Lelki próbáimban	RE 338	
125	Magára vette	JE 130	
126	Maradj velem, mert mindjárt este van	RE 511	
127	Még utam ködbe vész	Dics 424	
128	Megfogódzom hű kezedben	Énekeljünk I 92	
129	Meghajlunk előtted, Atyánk		
130	Megváltva!	HSZE 134	
131	Megvizsgáltál, Uram, engem	Áldd, lelkem, Istened 131	
132	Mélyen meghajlok	H 133	
133	Menj, töröld le könnyed	Dics 237	
134	Miért, hogy Ő	H 382, UjHozs 245	
135	Mily drága nekünk ez a jó hír	H 138	
136	Mily jó, ha bűntől már szabad	RE 467	
137	Minden lépés, amit lépek	H 290	
138	Mindig velem, Uram	H 139	
139	Mindörökké hű az Úr	Erőm és énekem az Úr 100	
140	Mint fáradt vándor	UjHozs 254	
141	Mint szarvas hűs vízforrásra	Magasztaljuk az Urat 159	
142	Mivel, hogy Jézus él	~H 10	
143	Mossál meg engem	Zengjen hálaének I 21, LE 55	
144	Mutasd meg, hadd lássam	Dics 427	
145	Nagy Király	Erőm és énekem az Úr 103	
146	Nagy vagy Te, Isten	H 146	
147	Ne félj, mert enyém vagy	HSZE 151	
148	Nem láthat bár e földi szem	H 293	
149	Nem tudom még, mit hoz e nap	UjHozs 273	
150	Nézz az Úrra, ó, ne félj!		
151	Nincsen szebb név	LE 63	
152	Ó, forrongó, gazdag árja	H 389	
153	Ó, Jézus, amikor sokan	DicsUj 81	
154	Ó, Jézus, árva csendben	RE 457	
155	Ó, Ábrahám Ura	RE 425	
156	Ó, Atya Isten, irgalmas nagy Úr	RE 168	
157	Ó, érthetetlen kegyelem	LE 65	
158	Ó, hogy volt idő, mikor még	H 157	
159	Ó, maradj kegyelmeddel	RE 200	
160	Ó, mi hű barátunk, Jézus	H 162	
161	Ó, mily csodálatos	KeresztAlatt 23, Magasztaljuk az Urat 172	
162	Ó, terjeszd ki, Jézusom	UjHozs 315	
163	Oltalom, páncél, pajzs az Úr		
164	Olyan örömöt, mint a forrás	JE 161	
165	Ó, örök hatalmú	RE 402	
166	Öröm van nálad	Az Úrnak zengjen az ének 301	
167	Örömömben, bánatomban	Ébredj, alvó 174	
168	Pásztorként vezetni nyájad	H 308	
169	Pásztorunk a Jézus	H 171	
170	Rád tekint már hitem	RE 466	
171	Semmi felől ne aggódjál	Új éneket 8, LE 85	
172	Soha nem fél már a szívem	Erőm és énekem az Úr 120	
173	Sűrű sötét van mindenfelé	Zengjen hálaének I 32, LE 42	
174	Szelíd szemed, Úr Jézus	RE 465	
175	Szent az Isten, szent, szent	DicsUj 493	
176	Szent bizonyosság	H 174	
177	Szent győzedelmes élet	H 175	
178	Szent vagy örökké	RE 241	
179	Szent vagy, szent vagy, szent vagy	RE 488	
180	Szentlélek Isten, jöjj szívünkbe	Erőm és énekem az Úr 122	
181	Szépséges Jézus	H 313, DicsUj 53	
182	Szeretlek, Jézus, mindennél jobban		
183	Szeretnék hasonló lenni	HSZE 190	
184	Szívből köszönöm, Uram	Magasztaljuk az Urat 194	
185	Szívem, mért kétkedel	LE 64	
186	Szólj hozzám, szólj ma, Istenem	Zengjen hálaének I 48, LE 40	
187	Szólj hozzám, Uram, Istenem	~~Áldd, lelkem, Istened 109	
188	Szólj, Uram, mert várok	H 181	
189	Taníts, Uram, meghajlani	H 183	
190	Tégy engem békeköveteddé	Erőm és énekem az Úr 128	
191	Tégy, Uram, engem áldássá	UjHozs 464	
192	Teljes szívemből, Uram		~184.
193	Tudod-e te, hogy szeret Isten?	JE 225	
194	Tudom, az Úrnak terve van velem	JE 163	
195	Tüzed, Uram Jézus	Erőm és énekem az Úr 132	
196	Úr Jézus, Rád tekintünk		
197	Úr lesz a Jézus mindenütt	RE 398	
198	Uram, Te jól ismersz engem	Dics 377, Zengjen hálaének I 6, Zengjen hálaének II 3	
199	Uram, úgy szeretnék sokat tudni Rólad	Zengjen hálaének I 3, LE 39	
200	Urunknak szent nevét áldjátok		
201	Van még számomra is bocsánat	UjHozs 388	
202	Van terád gondja az Úrnak		~96.
203	Várj, ember szíve, készen	RE 312	
204	Végig megálld a nagy tusát	H 375	
205	Velem vándorol utamon Jézus	UjHozs 396	
206	Vezess, Jézusunk	RE 434	
207	Vonj öröm és búbánaton át	H 213	
208	Záporként hull majd az áldás	H 214	
209	Zengd Jézus nevét	RE 468	
210	Zengje nyelvünk		
211	Zengjen az Úrnak hálaszó		
212	Zengjen hálaének	Hozs 97	
213	Áldd meg a Földet		kánonok =>
214	Áldjon meg téged, áldjon az Úr	Erőm és énekem az Úr 4	
215	Áldott a férfi, ki Istenben bízik egyedül	Az Úrnak zengjen az ének 207	
216	Atyám, én imádlak	JE 63	
217	Az Úr a pásztorom	UjHozs 502	
218	Az Úr gondol ránk	Erőm és énekem az Úr 17	
219	Csak Istené legyen	AZÉ I 20	
220	Csak nyisd ki a szíved	Erőm és énekem az Úr 24	
221	Halleluja, Jézus győzött		
222	Így szól ma tehozzád Jézus	JE 129	
223	Itt az este	UjHozs 507	
224	Jézus, Jézus, imádságom hallgasd meg		
225	Jézushoz jöjjetek	UjHozs 510	
226	Kész már a szívem neked zengeni, Isten	Az Úrnak zengjen az ének 156	
227	Lépésről lépésre	LE 15	
228	Még ma, még Jézus hív	LE 27	
229	Meglátogatta népét az Úr	UjHozs 513	
230	Messziről száll dalunk	Erőm és énekem az Úr 98	
231	Mi segítségünk az Úr nevében	LE 22	
232	Nálad, Jézus	LE 16	
233	Ne aggodalmaskodjál	UjHozs 514	
234	Ne csüggedj, lelkem	UjHozs 515	
235	Néked áldozunk	UjHozs 516	
236	Szem sose látott drágább kincset		
237	Szívem csendben az Úrra figyel	JE 185	
238	Szívem örömmel van tele	UjHozs 518	
239	Te csak az Istennek országát keresd	Erőm és énekem az Úr 126	
240	Terád vár bús szívem	UjHozs 520	
241	Vége van már a szolgaságnak	UjHozs 449	
242	Zörgetve állok kint	AZÉ I 147	
