Midőt Nátán, Úr-parancsra, Dávidhoz ment	112		
Mikor Dóég elfutott	176		
Mikor még semmi	148		Above all
Mikor pünkösd napján	65		
Mily gyönyörűség, íme lásd	217		
Minden nap veled leszek	162		
Minden, mi él	203		
Mindig velem, Uram	149		
Mindörökké hű az Úr	209		
Mint szarvas hűs forrás után	150		
Mint szarvas hűs vízforrásra	161		
Nagy Istenem	208		
Nagy Király	44		Majesty
Ne aggodalmaskodjál	184	kánon	
Ne bosszankodjál a hitetlenekre	177		
Ne csüggedj, lelkem!	187	kánon	
Ne félj, ne aggódj	167		
Nem lesz egyedül a szívem	183	kánon	
Ó jöjj, ó, jöjj, Üdvözítő	4		
Ó, áldás Ura – Békeima	104		
Ó, én édes jó Istenem!	119		
Ó, gyönyörű szép, titokzatos éj!	32	kánon	
Ó, ha Magyarországba jöttél volna világra	24		
Ó, jöjj élő lélek	127	kánon	
Ó, mily hű barátunk Jézus	172		What a friend we have in Jesus
Ó, terjeszd ki, Jézusom	84		
Olajágak hullnak Jézus elébe	45		
Olyan örömöt, mint a forrás	151		I've got peace like a river
Örvendezz, örvendezz, minden nép	54		
Örvendj világ	21		Joy to the world
Örvendjetek, mert Isten úgy szeret	58		
Örvendjetek, vigadjatok	52		
Pál apostol imája	130		
Paradicsom közepébe	27		
Pásztorok, pásztorok	12		
			
Rejts most el	178		
Róla beszél fű, virág	202		Birds are singing sweet and low
Rossz a Jézus kiscsizmája	22		
Serkenj fel, kegyes nép	88		
Isten fénye út a sötétben	163		Siyahamb' ekukhanyen KwenKhos
Soha nem volt még ilyen áldott éj	39		
Sokszor úgy érzem, összeroskadok	160		
Indulj, szép égi szekér	189		Swing low, sweet chariot
Szabadításod öröme	72		
Székely asztali áldás	94		
Székely himnusz	239		
Szentlélek Isten, jöjj szívünkbe	63		
Szentlélek jövel	66		
Szentséges éj	20		
Szép jel, szép csillag	35		
Szívem csendben az Úrra figyel	153	kánon	
Szívem telve van Veled	152		
Szívünk zengje már: Jézus erre jár!	204		
Szólj hozzánk, és mi hallgatunk	109		
Szóljon az ének	213		
Szólnak a harangok	186	kánon	
Szózat	238		
Szükségem van Rád	155		
Születésén Istennek	36		
Találkozni jöttem veled	110		
Tartsd fel a zászlót, mondd ki a jelszót	236		
Tegnap harangoztak	26	kánon	
Tégy eggyé, Urunk	100		
Tégy, Uram, engem áldássá	105		
Teremts bennem tiszta szívet	106		
This little light of mine	193		
Ti zárt ajtók, táruljatok!	46		
Tüzed, Uram, Jézus	154		
Új eszendő virradott	41		
Új esztendő, vígságszerző	42		
Új szívet adj	107		
Újra itt a szép karácsony	38		
Úr Jézus, Krisztus, szívem királya	32	kánon	
Úr Jézus, Megváltóm	210		
Uram, közel voltam hozzád	51		
Várni jó, várni jó	188	kánon	
Védelmezz, Istenem	108		
Velem vándorol utamon Jézus	146		
Vígan zengjetek, citerák	31	kánon	
Vonj közel Hozzád	219		Draw me close to You
Zengjünk dalt az Úrnak	228	kánon	
