149	Itt jövevény vagyok	
150	Itt van szívem	
151	Itt vándorol	
		
152	Jászolágyban ki az ott	
179	Jegyezd meg lelkem	
467	Jézus a jó pásztor	
439	Jézus akarja, hogy	
515	Jézus az életem	
153	Jézusból többet	
154	Jézus engem meg nem	
155	Jézus engem megtalált	
468	Jézus erre jár	
156	Jézus én bizodalmam	
157	Jézus feltámadott	
469	Jézus fönn az égben	
158	Jézus, ha rád	
159	Jézus hív nyájasan	
470	Jézushoz ha térek	
515	Jézushoz jöjjetek	
160	Jézus hű marad	
161	Jézus, Istennek	
162	Jézus, Jézus, Jézus	
163	Jézus, Jézus! Ó mi szép	
164	Jézus jöjj le győzni	
471	Jézus kopogtat	
472	Jézus Krisztus erre	
170	Jézus Krisztus Királyom	
505	Jézus küldd most	
165	Jézus legyen jeligénk	
166	Jézus menjen utadon	
167	Jézus, mindenem	
169	Jézus nyájas és szelíd	
171	Jézus ölébe bizton	
172	Jézusról, csak róla	
173	Jézussal élve mi	
174	Jézus sebeidnek mélye	
168	Jzus szolgálókat hív ma	
473	Jézus szól: világíts	
175	Jézus, te égi szép	
176	Jézus, terád egy	
177	Jézus vezesd gyermeked	
178	Jézus vigasságom!	
180	Jobban tiéd Uram	
181	Jókor reggel	
474	Jöjj az Úrhoz	
184	Jöjj el az élet	
185	Jöjjetek Krisztust	
186	Jöjj, Királyom, Jézusom	
187	Jöjj koronázzuk Őt	
188	Jöjj lelkem és ne	
189	Jöjj, ments meg ó	
190	Jöjj népek Megváltója	
191	Jövel Szentlélek	
192	Jöjj szent közelébe	
193	Jöjj Szentlélek Úr	
194	Jöjj, tárjunk ajtót	
195	Jöjj, Úr Jézus, lelkem	
		
515	Karácsony ünnepén	
197	Kelj útra s hagyd	
196	Keresztfádon, omló vérben	
197	Keresztnek népe fel	
417	Később érted meg ezt	
475	Két kicsi szem	
418	Kicsiny Betlehemben	
200	Ki eljött éretted	
201	Ki hittel a drága	
476	Kimegy a magvető	
202	Királyi zászló	
477	Kismadárka	
478	Kis szívem, kis szoba	
479	Kis telefonom van	
480	Kit dicsérek	
203	Ki vagyok én	
419	Koronát, trónust	
204	Könyörgünk Atyánk	
205	Kőszirt a pusztán	
206	Krisztus a keresztfán	
506	Krisztus a Király	
207	Krisztus az énekem	
208	Krisztus, ártatlan Bárány	
209	Krisztus feltámadt	
481	Krisztus báránya	
210	Krisztus, ki vagy	
211	Krisztusom, kívüled	
212	Krisztus Urunknak	
213	Küldd Szentlelked	
		
214	Lábaidhoz hullok	
215	Lásd Uram, leroskadok	
507	Lássék lelkemben	
216	Lelkem Megváltója	
217	Lelki próbáimban	
218	Leszállt a csöndes	
219	Légy áldott Isten	
220	Légy csendes szívvel	
221	Légy éber reggel	
222	Légy szerelmes, hű Uradnak	
223	Lélek, akit bűne bánt	
224	Lélek fuvalma jöjj	
		
420	Magára vette	
421	Majdnem megtértél	
225	Maradj velem, mert immár	
226	Maradj velem, mert mindjárt	
227	Maranatha, Jézus eljön	
422	Már itt ragyog	
228	Már keresztem	
229	Már összeölelve	
230	Megfáradt szív	
515	Meglátogatta népét	
231	Megleltem a drága	
232	Megváltómnak keresztjén	
482	Megy a Pásztor	
233	Mely igen jó	
234	Mely minket egyesít	
235	Menj elől Urunk	
237	Menj, töröld le könnyed	
238	Mennyből hangzik	
483	Mennyből az angyal	
239	Mennyből jövök most	
240	Mentsd, aki elmerül	
484	Mert a Jézusé vagyok	
485	Messze földön	
236	Messze szakadtam	
423	Messzi hang csendül feléd	
241	Még egyszer hív	
424	Még utam ködbe vész	
242	Mély álmodtól	
243	Mélyen meghajlok	
244	Mért késel Jézus	
245	Miért, hogy Ő	
246	Míg Jézust nem ismertem	
508	Mi hozzád von	
486	Mi jó, hogy drága	
440	Mily csodás változás	
247	Mily drága nekünk	
248	Mily édes a te neved	
249	Mily jó, ha bűntől	
250	Mily nagy az Úr	
425	Mindenem Jézus, mindenem	
251	Minden lépés, amit	
252	Mind Isten teremtménye	
253	Mint a szép hűvös	
254	Mint fáradt vándor	
426	Mintha szárnyon szállna	
255	Mi tesz bűntől	
487	Mi várjuk az Úr Jézust	
256	Mondd, még mire	
257	Mondd, ott lellek	
258	Mondjatok akármit	
259	Most még sötét	
441	Most, most még	
260	Munkára fel, munkára fel	
427	Mutasd meg, hadd lássam	
		
261	Nagy irgalomban	
262	Nagy Istenem, ha	
428	Nagyszerű dolgot	
263	Nagy Úr Isten	
264	Nagy vagy te Isten	
515	Ne aggodalmaskodjál	
265	Ne csüggedj el	
515	Ne csüggedj lelkem	
266	Ne kutassad szenvedésem	
429	Nem a kincset	
267	Nem csábít földi kincs	
430	Nem hagyjuk el	
268	Nem láthat bár	
269	Nem látod-é, hogy	
270	Ne mondjátok nekem	
271	Nem sújt a törvény	
272	Nem szűnik boldog	
273	Nem tudom, még mit	
274	Ne rettegj, bármi	
515	Néked áldozunk	
275	Néked szóljon a dal	
431	Nincsen sehol a világon	
277	Nincs más, ami úgy	
