Uram, jövök Hozzád	209
Uram, közel voltam Hozzád	210
Uram, szólj hozzám	211
Uram, Te drága	212
Urunk irgalmazz	213
Vágyom Veled lenni	216
Valaki fogja két kezem	217
Várjuk Szellemed	218
Várlak, Uram jöjj hozzám	219
Várok Rád	222
Várok	221
Várom Őt	220
Velem vándorol	214
Vétkeink miatt	215
